rank,strategy_id,strategy,temperature,top_k,top_p,perplexity,nll,mean_tokens,distinct_1,distinct_2,repetition_4,loop_rate,eos_rate,complete_ending_rate,replacement_character_rate,rouge_l,balance_score
1,t0.8_k100,"T=0.8, K=100",0.8,100,,2.596152118925832,0.9540303945541382,120.375,0.543583442039664,0.8655212149524245,0.016052935636409124,0.10416666666666667,0.3541666666666667,0.4479166666666667,0.0,0.2650316136744007,94.86158598358007
2,t0.8_k50,"T=0.8, K=50",0.8,50,,2.5584512716851164,0.9394021034240723,120.27083333333333,0.5386499291756853,0.8629243476929537,0.016657668066521292,0.09375,0.3333333333333333,0.4583333333333333,0.0,0.2670252754682646,94.77845599869514
3,t0.8_p0.9,"T=0.8, P=0.90",0.8,,0.9,2.1462967968858435,0.7637439370155334,120.80208333333333,0.5378801133573365,0.8597929096032976,0.016104374583760486,0.03125,0.3333333333333333,0.4166666666666667,0.0,0.27304107788043447,94.67364064515439
4,t0.8,T=0.8,0.8,,,2.628479887948786,0.9664056897163391,120.0,0.54314821773033,0.8659481950444476,0.016332814870127717,0.11458333333333333,0.3645833333333333,0.4479166666666667,0.0,0.2625983697305682,94.5912793268925
5,t0.8_k20,"T=0.8, K=20",0.8,20,,2.431868796097828,0.8886600136756897,119.95833333333333,0.5385582485798263,0.8618323747027512,0.016912094087021892,0.11458333333333333,0.3541666666666667,0.4166666666666667,0.0,0.2647355821554923,94.20401132690668
6,t0.8_p0.95,"T=0.8, P=0.95",0.8,,0.95,2.2712048768745334,0.8203104734420776,119.90625,0.5397399420470971,0.8585654487392168,0.015561084268365532,0.052083333333333336,0.3541666666666667,0.46875,0.0,0.2740243825619049,93.95370623895755
7,t0.8_k50_p0.9,"T=0.8, K=50, P=0.90",0.8,50,0.9,2.118449219829285,0.7506843209266663,119.9375,0.5362568309593422,0.8571388313214295,0.016155106845878172,0.041666666666666664,0.375,0.4895833333333333,0.0,0.2724358524182599,93.43473294289397
8,t0.8_p0.8,"T=0.8, P=0.80",0.8,,0.8,1.9414197682135939,0.6634195446968079,118.19791666666667,0.5283570382592464,0.8476207660033429,0.019852769339470163,0.10416666666666667,0.4270833333333333,0.5,0.0,0.27858413023262246,90.6455901080314
9,t1.0,T=1.0,1.0,,,4.788235587221971,1.5661619901657104,122.03125,0.5835410504019339,0.8989466454559185,0.007493806214077064,0.041666666666666664,0.2708333333333333,0.34375,2.0714655618850335e-05,0.24993880683951167,90.27689751583117
10,t0.5,T=0.5,0.5,,,1.8590925971005297,0.620088517665863,116.92708333333333,0.5335101154257111,0.8467740404214718,0.02339448131391394,0.10416666666666667,0.4791666666666667,0.5416666666666666,0.0,0.2798299189968342,88.99155470648903
11,t0.8_p0.5,"T=0.8, P=0.50",0.8,,0.5,1.6919282131455557,0.525868833065033,117.92708333333333,0.5184139220312373,0.8299647456243687,0.030912289111120445,0.15625,0.3958333333333333,0.4583333333333333,0.0,0.29329235331484854,88.13434086483709
12,greedy,Greedy,0.0,,,1.6192021118138695,0.48193350434303284,114.25,0.523915888927439,0.8327812565122517,0.030149353652230187,0.1875,0.53125,0.5625,0.0,0.29733916698652385,85.25483268128585
13,t1.2,T=1.2,1.2,,,15.522483839455191,2.7422895431518555,118.64583333333333,0.6496671039585044,0.9364692360848114,0.0017977944788289634,0.0,0.34375,0.4270833333333333,4.096681687832855e-05,0.21950186862815593,72.45032797411439
14,t1.4,T=1.4,1.4,,,186.3010778707185,5.2273640632629395,125.69791666666667,0.7694078146381895,0.9752289232329692,0.00033333333333333365,0.0,0.09375,0.1875,0.00023337222870478414,0.17229434695773374,61.868439047205584
