step,tokens_seen,elapsed_seconds,split,loss,learning_rate,gradient_norm,tokens_per_second,peak_gpu_memory_mib
0,0,0.0,valid,9.26848130,0.0,,,3832.33
1,32768,5.148860,train,9.26717949,1e-05,0.98228908,6364.12,12919.96
2,65536,5.218479,train,9.25658417,2e-05,0.98335832,12558.44,13073.10
3,98304,5.279121,train,9.23661613,3e-05,0.97979134,18621.28,13073.10
4,131072,5.336450,train,9.20670509,4e-05,0.99724591,24561.64,13073.10
5,163840,5.394383,train,9.16873550,5e-05,0.97721100,30372.33,13073.10
6,196608,5.450817,train,9.12135410,6e-05,1.00943995,36069.45,13073.10
7,229376,5.508431,train,9.06858253,7e-05,1.03808701,41640.89,13073.10
8,262144,5.565086,train,8.99829769,8e-05,1.10982287,47105.11,13073.10
9,294912,5.622310,train,8.92545509,9e-05,1.18265951,52453.88,13073.10
10,327680,5.679029,train,8.84766388,0.0001,1.26672506,57700.00,13073.10
11,360448,5.734892,train,8.76001072,0.00011,1.41281009,62851.74,13073.10
12,393216,5.791565,train,8.67228508,0.00012,1.53519893,67894.59,13073.10
13,425984,5.848221,train,8.56371498,0.00013,1.66579413,72839.92,13073.10
14,458752,5.905402,train,8.45935726,0.00014,1.82270837,77683.44,13073.10
15,491520,5.962068,train,8.34460163,0.00015,1.98777759,82441.19,13073.10
16,524288,6.018761,train,8.26063728,0.00016,2.04253268,87108.95,13073.10
17,557056,6.075738,train,8.14950085,0.00017,2.14019418,91685.31,13073.10
18,589824,6.132928,train,8.04426956,0.00018,2.19736218,96173.30,13073.10
19,622592,6.189867,train,7.92161751,0.00019,2.28725624,100582.44,13073.10
20,655360,6.246756,train,7.82603455,0.0002,2.29519796,104912.04,13073.10
21,688128,6.303478,train,7.71516609,0.00021,2.29950333,109166.39,13073.10
22,720896,6.359964,train,7.60635281,0.00022,2.31349277,113349.06,13073.10
23,753664,6.416676,train,7.48619127,0.00023,2.33105803,117453.96,13073.10
24,786432,6.473623,train,7.36785316,0.00024,2.31633353,121482.50,13073.10
25,819200,6.530688,train,7.26139975,0.00025,2.27490592,125438.53,13073.10
26,851968,6.587266,train,7.12398577,0.00026,2.27736068,129335.59,13073.10
